Date;Heure;N° Chambre;Type Kayak;Nombre personnes
26/11/2024;09:00-10:00;ME01;K1D;2
26/11/2024;10:00-11:00;ME01;K1D;2
26/11/2024;14:00-15:00;JA01;K2D;2
01/12/2024;09:00-10:00;JA05;K1D;2
01/12/2024;09:00-10:00;JA05;K2D;2
01/12/2024;10:00-11:00;ME04;K1S;1
02/12/2024;11:00-12:00;JA05;K1D;2
02/12/2024;11:00-12:00;JA05;K2D;2
03/12/2024;14:00-15:00;JA06;K3D;2
03/12/2024;14:00-15:00;JA06;K2D;2
09/12/2024;09:00-10:00;ME04;K1D;2
15/12/2024;14:00-15:00;JA04;K2D;2
15/12/2024;14:00-15:00;JA04;K3D;2
20/12/2024;09:00-10:00;JA06;K1S;1
20/12/2024;09:00-10:00;JA06;K2S;1
23/12/2024;11:00-12:00;JA06;K1D;2
23/12/2024;14:00-15:00;ME05;K2D;2
24/12/2024;10:00-11:00;JA10;K1D;2
24/12/2024;10:00-11:00;JA10;K2D;2
